Order_ID,Order_Date,Ship_Date,Ship_Mode,Customer_ID,Customer_Name,Segment,Region,Category,Sub_Category,Product_Name,Sales,Quantity,Discount,Profit
ORD-93810,2023-02-19,2023-02-22,First Class,CUS-5415,Customer_0,Corporate,South,Furniture,Chairs,Chairs_627,1209.33,7,0.3,257.17
ORD-24592,2025-01-02,2025-01-09,Same Day,CUS-1659,Customer_1,Home Office,East,Technology,Phones,Phones_418,643.15,8,0.15,51.35
ORD-13278,2025-03-13,2025-03-15,Standard Class,CUS-3870,Customer_2,Consumer,East,Office Supplies,Art,Art_513,487.34,10,0.25,28.52
ORD-46048,2023-10-01,2023-10-08,First Class,CUS-8708,Customer_3,Consumer,East,Technology,Phones,Phones_277,149.13,7,0.15,9.53
ORD-42098,2024-09-08,2024-09-13,First Class,CUS-9502,Customer_4,Consumer,West,Technology,Computers,Computers_957,3699.04,10,0.15,842.76
ORD-39256,2024-08-09,2024-08-11,Same Day,CUS-8245,Customer_5,Consumer,South,Technology,Computers,Computers_133,3854.57,3,0.1,1284.32
ORD-28289,2023-09-30,2023-10-04,Standard Class,CUS-5557,Customer_6,Consumer,East,Furniture,Chairs,Chairs_469,806.6,8,0.25,44.92
ORD-23434,2025-09-27,2025-10-01,Standard Class,CUS-3973,Customer_7,Consumer,South,Office Supplies,Binders,Binders_380,339.06,9,0.3,31.4
ORD-98696,2025-08-25,2025-08-28,First Class,CUS-8141,Customer_8,Consumer,West,Furniture,Furnishings,Furnishings_617,369.49,7,0.25,61.08
ORD-81482,2025-08-22,2025-08-23,Second Class,CUS-9056,Customer_9,Corporate,East,Furniture,Chairs,Chairs_797,845.44,9,0.1,295.77
ORD-21395,2023-05-11,2023-05-15,First Class,CUS-2494,Customer_10,Home Office,Central,Technology,Computers,Computers_481,3950.11,8,0.25,25.45
ORD-87397,2025-09-08,2025-09-12,First Class,CUS-8700,Customer_11,Consumer,West,Furniture,Furnishings,Furnishings_281,2607.59,7,0.25,324.83
ORD-65302,2024-03-15,2024-03-17,First Class,CUS-6700,Customer_12,Corporate,Central,Furniture,Bookcases,Bookcases_452,1864.61,6,0.0,401.89
ORD-14165,2024-10-30,2024-10-31,First Class,CUS-7690,Customer_13,Corporate,South,Technology,Accessories,Accessories_866,2558.85,4,0.0,920.54
ORD-13905,2023-02-19,2023-02-22,Same Day,CUS-6460,Customer_14,Home Office,South,Office Supplies,Paper,Paper_391,88.06,3,0.25,10.37
ORD-22280,2025-08-17,2025-08-22,Standard Class,CUS-6260,Customer_15,Consumer,West,Technology,Copiers,Copiers_150,362.39,7,0.0,48.3
ORD-38657,2025-06-28,2025-07-01,Same Day,CUS-2713,Customer_16,Home Office,South,Technology,Computers,Computers_977,632.36,10,0.25,104.55
ORD-40495,2022-11-24,2022-12-01,Same Day,CUS-3634,Customer_17,Consumer,Central,Technology,Computers,Computers_793,1175.42,1,0.1,330.57
ORD-76237,2023-06-16,2023-06-20,Same Day,CUS-6403,Customer_18,Corporate,East,Technology,Accessories,Accessories_767,1741.29,10,0.3,-85.56
ORD-88907,2023-08-09,2023-08-12,First Class,CUS-7744,Customer_19,Corporate,East,Furniture,Chairs,Chairs_985,1204.64,8,0.1,370.65
ORD-13478,2024-11-26,2024-12-03,Second Class,CUS-9117,Customer_20,Corporate,East,Office Supplies,Paper,Paper_585,179.7,4,0.15,14.52
ORD-83563,2025-02-10,2025-02-13,Standard Class,CUS-5722,Customer_21,Corporate,West,Technology,Computers,Computers_715,1233.32,9,0.1,265.93
ORD-36062,2023-02-08,2023-02-12,Second Class,CUS-7561,Customer_22,Home Office,South,Technology,Computers,Computers_358,2573.14,5,0.25,256.64
ORD-95181,2023-02-20,2023-02-25,Same Day,CUS-1601,Customer_23,Consumer,Central,Office Supplies,Pens,Pens_829,414.39,7,0.0,130.9
ORD-81426,2023-12-11,2023-12-14,Same Day,CUS-8451,Customer_24,Consumer,South,Office Supplies,Pens,Pens_533,147.05,9,0.3,9.02
ORD-64987,2024-06-21,2024-06-22,Second Class,CUS-2442,Customer_25,Home Office,South,Furniture,Bookcases,Bookcases_570,2832.92,10,0.0,1022.48
ORD-38893,2025-01-07,2025-01-12,Second Class,CUS-6153,Customer_26,Consumer,South,Furniture,Tables,Tables_577,2632.68,6,0.1,708.58
ORD-68878,2025-05-18,2025-05-25,Second Class,CUS-5135,Customer_27,Corporate,East,Furniture,Furnishings,Furnishings_698,569.12,1,0.25,96.36
ORD-87236,2024-06-02,2024-06-09,Same Day,CUS-6296,Customer_28,Consumer,Central,Technology,Phones,Phones_623,3942.07,1,0.3,744.55
ORD-46463,2023-07-09,2023-07-11,Same Day,CUS-2899,Customer_29,Corporate,Central,Office Supplies,Pens,Pens_674,291.55,10,0.2,65.95
ORD-10851,2023-05-25,2023-05-29,Standard Class,CUS-7622,Customer_30,Home Office,South,Office Supplies,Art,Art_723,287.62,8,0.15,10.29
ORD-30926,2024-12-11,2024-12-18,Standard Class,CUS-9431,Customer_31,Consumer,East,Furniture,Bookcases,Bookcases_800,1234.02,6,0.3,84.43
ORD-65392,2024-10-02,2024-10-07,Same Day,CUS-1018,Customer_32,Home Office,East,Technology,Copiers,Copiers_165,2530.71,2,0.25,643.41
ORD-54597,2024-11-25,2024-12-02,Second Class,CUS-9889,Customer_33,Consumer,Central,Furniture,Bookcases,Bookcases_755,1251.82,10,0.1,109.81
ORD-46421,2023-08-30,2023-09-01,Second Class,CUS-8569,Customer_34,Corporate,East,Furniture,Bookcases,Bookcases_367,1665.22,8,0.2,368.23
ORD-30379,2025-09-15,2025-09-19,Standard Class,CUS-7770,Customer_35,Home Office,East,Office Supplies,Pens,Pens_292,317.7,2,0.3,77.0
ORD-38221,2025-08-28,2025-08-29,Same Day,CUS-1888,Customer_36,Consumer,East,Technology,Computers,Computers_158,3387.8,3,0.0,391.83
ORD-54118,2023-02-08,2023-02-09,Standard Class,CUS-4073,Customer_37,Corporate,West,Office Supplies,Storage,Storage_776,270.92,9,0.1,68.99
ORD-23396,2023-08-15,2023-08-21,Standard Class,CUS-9494,Customer_38,Home Office,South,Furniture,Tables,Tables_838,2192.12,5,0.15,362.68
ORD-22156,2024-09-20,2024-09-27,First Class,CUS-6927,Customer_39,Home Office,Central,Technology,Copiers,Copiers_402,749.33,8,0.2,130.2
